FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140615;0000;25,5833;;;
140616;0000;22,9583;;;
140617;0000;15,625;;;
140618;0000;15,5;;;
140619;0000;16,7083;;;
140620;0000;15,0417;;;
140621;0000;14,125;;;
140622;0000;11,1667;;;
140623;0000;16,0833;;;
140624;0000;17,0833;;;
140625;0000;10;;;
140626;0000;7,20833;;;
140627;0000;13,7917;;;
140628;0000;12,9167;;;
140629;0000;18,75;;;
140630;0000;23,2917;;;
140701;0000;15,3043;;;
140702;0000;;;7,05;
140703;0000;;;;
140704;0000;;;;
140705;0000;6,75;;;
140706;0000;12,7083;;;
140707;0000;25,4167;;;
140708;0000;30,2917;;;
140709;0000;25;;;
140710;0000;24,25;;;
140711;0000;19,3333;;;
140712;0000;14,625;;;
140713;0000;15,5833;;;
140714;0000;17;;;
140715;0000;15,4167;;;
140716;0000;20,7083;;;
140717;0000;18,8333;;;
140718;0000;26,75;;;
140719;0000;26,1667;;;
140720;0000;32,0416;;;
140721;0000;25,4167;;;
140722;0000;13;;;
140723;0000;;;4,75;
140724;0000;10,6522;;;
140725;0000;13,4762;;;
140726;0000;18,75;;;
140727;0000;15,5833;;;
140728;0000;16,0833;;;
140729;0000;15,4583;;;
140730;0000;16,7083;;;
140731;0000;28,875;;;
140801;0000;38,25;;;
140802;0000;37,5;;;
140803;0000;25,9583;;;
140804;0000;26,0417;;;
140805;0000;30,3333;;;
140806;0000;19,25;;;
140807;0000;14,4583;;;
140808;0000;14,8333;;;
140809;0000;12,4167;;;
140810;0000;10,125;;;
140811;0000;12,9583;;;
140812;0000;16,75;;;
140813;0000;;;386,917;
140814;0000;;;428,875;
140815;0000;21,1667;;;
140816;0000;16,3333;;;
140817;0000;20,2083;;;
140818;0000;21,3333;;;
140819;0000;14,7083;;;
140820;0000;11,7917;;;
140821;0000;9,625;;;
140822;0000;6,56522;;;
140823;0000;9,04166;;;
140824;0000;5,375;;;
140825;0000;13,625;;;
140826;0000;20,5;;;
140827;0000;18,6667;;;
140828;0000;17,4583;;;
140829;0000;19,875;;;
140830;0000;19,75;;;
140831;0000;13,9167;;;
140901;0000;9,5;;;
140902;0000;7,29166;;;
140903;0000;8,16666;;;
140904;0000;8,125;;;
140905;0000;10,0417;;;
140906;0000;12,1667;;;
140907;0000;20,0833;;;
140908;0000;;;472,884;
140909;0000;;;340,006;
140910;0000;8,66666;;;
140911;0000;13;;;
140912;0000;15,2083;;;
140913;0000;8,625;;;
140914;0000;8,66666;;;
140915;0000;21,2083;;;
140916;0000;16,5652;;;
140917;0000;10,375;;;
140918;0000;8,5;;;
140919;0000;9,375;;;
140920;0000;11,625;;;
140921;0000;15,9583;;;
140922;0000;11,3333;;;
140923;0000;8;;;
140924;0000;9,95833;;;
140925;0000;8;;;
140926;0000;7,16666;;;
140927;0000;8,375;;;
140928;0000;7,83333;;;
140929;0000;8,13635;;;
140930;0000;4,82608;;;
