Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
180809,13.9,940809,7.8,970809,22.2
180810,14.1,090810,9.7,970810,25.3
180811,14.1,910811,8.2,970811,27.0
180812,14.1,950812,8.4,970812,20.7
180813,14.0,950813,9.7,970813,19.3
180814,14.0,980814,7.0,970814,21.2
180815,13.9,980815,8.3,970815,19.7
180816,14.2,920816,8.8,970816,22.7
180817,14.0,030817,9.3,970817,23.2
180818,14.0,040818,8.0,970818,20.6
180819,14.0,930819,7.8,970819,19.3
180820,13.9,900820,10.2,970820,19.2
180821,14.0,990821,9.5,170821,19.7
180822,14.1,920822,8.9,170822,20.2
180823,14.0,090823,9.2,960823,19.5
180824,14.1,030824,8.4,970824,20.5
180825,14.2,980825,9.0,040825,20.5
180826,14.2,980826,7.3,020826,26.3
180827,14.3,070827,8.5,150827,21.9
180828,14.3,070828,9.3,130828,21.1
180829,14.5,070829,10.4,010829,21.6
180830,14.5,980830,8.9,040830,20.5
180831,14.4,050831,8.1,110831,20.6
180901,14.3,050901,8.3,110901,19.9
180902,14.5,940902,8.6,990902,20.2
180903,14.4,100903,9.0,180903,20.1
180904,14.4,070904,8.8,180904,20.8
180905,14.4,080905,9.5,970905,21.8
180906,14.5,080906,8.5,970906,20.2
180907,14.5,980907,8.4,940907,20.4
180908,14.6,980908,7.5,940908,21.7
180909,14.5,030909,9.3,130909,24.0
180910,14.5,030910,7.1,060910,19.5
180911,14.4,980911,9.9,150911,19.5
180912,14.5,890912,9.0,040912,20.6
180913,14.5,010913,8.6,110913,21.1
180914,14.3,890914,6.9,150914,20.8
180915,14.5,050915,9.6,150915,21.0
180916,14.5,050916,9.6,960916,21.2
180917,14.6,100917,9.5,970917,25.0
180918,14.6,100918,9.8,970918,24.2
180919,14.7,120919,10.1,970919,20.4
180920,14.7,130920,9.0,150920,20.5
180921,15.0,120921,11.0,.,21.1
180922,15.0,990922,10.0,000922,21.1
180923,15.0,070923,10.3,940923,20.4
180924,14.9,070924,11.1,020924,20.9
180925,14.9,050925,9.3,150925,20.8
180926,15.0,040926,10.9,970926,22.1
180927,15.1,070927,11.3,940927,21.2
180928,15.1,890928,11.4,100928,20.0
180929,15.0,900929,9.5,150929,21.0
180930,15.2,010930,9.9,970930,20.3
181001,15.0,991001,11.0,971001,22.0
181002,15.1,171002,10.9,961002,20.7
181003,15.2,071003,10.2,111003,20.6
181004,15.3,101004,9.9,171004,21.1
181005,15.2,891005,10.1,941005,23.6
181006,15.4,911006,11.1,161006,22.1
181007,15.3,901007,10.6,941007,21.0
181008,15.3,901008,9.4,011008,21.1
181009,15.4,901009,10.7,011009,20.7
181010,15.4,901010,9.2,941010,21.3
181011,15.3,951011,10.3,941011,20.3
181012,15.4,911012,11.0,971012,24.1
181013,15.6,961013,10.0,971013,25.7
