FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140622;0000;41,2916;;;
140623;0000;53,875;;;
140624;0000;54,625;;;
140625;0000;42,5;;;
140626;0000;51,375;;;
140627;0000;71,4166;;;
140628;0000;83,3333;;;
140629;0000;58,5416;;;
140630;0000;67,0833;;;
140701;0000;53,5217;;;
140702;0000;;;181,182;
140703;0000;49,1666;;;
140704;0000;43,6666;;;
140705;0000;46,875;;;
140706;0000;59,4583;;;
140707;0000;64,7083;;;
140708;0000;63,3333;;;
140709;0000;52,7916;;;
140710;0000;55,0833;;;
140711;0000;48,375;;;
140712;0000;40,125;;;
140713;0000;39,125;;;
140714;0000;42,4583;;;
140715;0000;54,6666;;;
140716;0000;56,5416;;;
140717;0000;50,25;;;
140718;0000;53,5;;;
140719;0000;52,9583;;;
140720;0000;56,5833;;;
140721;0000;52,8333;;;
140722;0000;47,25;;;
140723;0000;;;29,6087;
140724;0000;72,6956;;;
140725;0000;61,05;;;
140726;0000;54,0833;;;
140727;0000;40,2083;;;
140728;0000;42,2083;;;
140729;0000;45,2272;;;
140730;0000;45,9166;;;
140731;0000;57,375;;;
140801;0000;59,625;;;
140802;0000;59,4583;;;
140803;0000;56,2083;;;
140804;0000;50,5416;;;
140805;0000;60,1666;;;
140806;0000;52,2916;;;
140807;0000;52,4166;;;
140808;0000;47,6666;;;
140809;0000;37,25;;;
140810;0000;31,7917;;;
140811;0000;36,8333;;;
140812;0000;43,125;;;
140813;0000;;;27,3896;
140814;0000;;;3,10116;
140815;0000;;;18,0465;
140816;0000;34,7083;;;
140817;0000;34,0833;;;
140818;0000;41,75;;;
140819;0000;33,7083;;;
140820;0000;33,5;;;
140821;0000;32,875;;;
140822;0000;31,2609;;;
140823;0000;31,5833;;;
140824;0000;25,75;;;
140825;0000;41,1666;;;
140826;0000;51,25;;;
140827;0000;46,125;;;
140828;0000;42,7916;;;
140829;0000;40,5;;;
140830;0000;41,7916;;;
140831;0000;34,9166;;;
140901;0000;29,913;;;
140902;0000;25,8333;;;
140903;0000;37,1666;;;
140904;0000;31,375;;;
140905;0000;41,3333;;;
140906;0000;47,7083;;;
140907;0000;49,2916;;;
140908;0000;51,8333;;;
140909;0000;38,875;;;
140910;0000;37,9583;;;
140911;0000;40,625;;;
140912;0000;44,75;;;
140913;0000;28;;;
140914;0000;37,5833;;;
140915;0000;48,4166;;;
140916;0000;40,8695;;;
140917;0000;35,4166;;;
140918;0000;29,0833;;;
140919;0000;32,9166;;;
140920;0000;31,8333;;;
140921;0000;34,2916;;;
140922;0000;31,5;;;
140923;0000;46,25;;;
140924;0000;40,625;;;
140925;0000;34,3333;;;
140926;0000;33,4583;;;
140927;0000;32,75;;;
140928;0000;24,4167;;;
140929;0000;29,1667;;;
140930;0000;24,1667;;;
141001;0000;27,7083;;;
141002;0000;30,25;;;
141003;0000;32,1666;;;
141004;0000;31,0833;;;
141005;0000;17,0833;;;
141006;0000;25,5833;;;
141007;0000;29,7917;;;
141008;0000;26,913;;;
141009;0000;32,125;;;
141010;0000;36,2916;;;
141011;0000;36,2083;;;
141012;0000;35,625;;;
141013;0000;38,5;;;
141014;0000;42,1666;;;
141015;0000;40,625;;;
141016;0000;30,375;;;
141017;0000;41,25;;;
141018;0000;37,125;;;
141019;0000;28;;;
141020;0000;37,3333;;;
141021;0000;43,25;;;
141022;0000;37,2083;;;
141023;0000;38,0416;;;
141024;0000;34,7083;;;
141025;0000;29,375;;;
141026;0000;20,125;;;
141027;0000;26,875;;;
141028;0000;35,2916;;;
141029;0000;30,4091;;;
141030;0000;38,7083;;;
141031;0000;29,7116;;;
141101;0000;30,2537;;;
141102;0000;27,8129;;;
141103;0000;36,3162;;;
141104;0000;37,0729;;;
141105;0000;37,6562;;;
141106;0000;;;;
141107;0000;23,6721;;;
141108;0000;28,1237;;;
141109;0000;28,99;;;
141110;0000;39,9203;;;
141111;0000;31,8013;;;
141112;0000;32,717;;;
141113;0000;35,0616;;;
141114;0000;36,682;;;
141115;0000;36,145;;;
141116;0000;23,9246;;;
141117;0000;28,7158;;;
141118;0000;26,7608;;;
141119;0000;26,92;;;
141120;0000;30,8108;;;
141121;0000;30,265;;;
141122;0000;29,1266;;;
141123;0000;22,8858;;;
141124;0000;27,7887;;;
141125;0000;30,9359;;;
141126;0000;33,64;;;
141127;0000;33,707;;;
141128;0000;31,3158;;;
141129;0000;35,0595;;;
141130;0000;25,2362;;;
141201;0000;38,4894;;;
141202;0000;40,017;;;
141203;0000;38,947;;;
141204;0000;45,0108;;;
141205;0000;41,9529;;;
141206;0000;27,7995;;;
141207;0000;26,4579;;;
141208;0000;26,2309;;;
141209;0000;40,3264;;;
141210;0000;41,1748;;;
141211;0000;42,0463;;;
141212;0000;29,2207;;;
141213;0000;26,5612;;;
141214;0000;21,9965;;;
141215;0000;37,7179;;;
141216;0000;34,8993;;;
141217;0000;27,2499;;;
141218;0000;28,2765;;;
141219;0000;34,6998;;;
141220;0000;35,7469;;;
141221;0000;26,4864;;;
141222;0000;34,3651;;;
141223;0000;40,5258;;;
141224;0000;34,7596;;;
141225;0000;26,3285;;;
141226;0000;30,2129;;;
141227;0000;29,2493;;;
141228;0000;21,0934;;;
141229;0000;33,5616;;;
141230;0000;30,9106;;;
141231;0000;36,7398;;;
150101;0000;30,7917;;;
150102;0000;28,125;;;
150103;0000;28,2917;;;
150104;0000;22,2083;;;
150105;0000;30,5833;;;
150106;0000;28,7917;;;
150107;0000;27,7917;;;
150108;0000;33,9166;;;
150109;0000;32,3333;;;
150110;0000;25,9167;;;
150111;0000;24,625;;;
150112;0000;28,2083;;;
150113;0000;29,2609;;;
150114;0000;31,4091;;;
150115;0000;29,7917;;;
150116;0000;30,0869;;;
150117;0000;27,4782;;;
150118;0000;22,5;;;
150119;0000;34,25;;;
150120;0000;32,4166;;;
150121;0000;;;24,965;
150122;0000;;;;
150123;0000;26,9167;;;
150124;0000;26,875;;;
150125;0000;21,1667;;;
150126;0000;21,4167;;;
150127;0000;27,9583;;;
150128;0000;29,875;;;
150129;0000;26,7222;;;
150130;0000;30,7917;;;
150131;0000;30,9524;;;
150201;0000;23,125;;;
150202;0000;29,0833;;;
150203;0000;38,1666;;;
150204;0000;34,75;;;
150205;0000;38,1666;;;
150206;0000;33,6666;;;
150207;0000;29,0417;;;
150208;0000;27,0833;;;
150209;0000;34,6666;;;
150210;0000;33,3636;;;
150211;0000;32,6818;;;
150212;0000;30,7083;;;
150213;0000;29,0833;;;
150214;0000;31,9167;;;
150215;0000;35,5416;;;
150216;0000;37,375;;;
150217;0000;41,0416;;;
150218;0000;40,1666;;;
150219;0000;60,8333;;;
150220;0000;55,0833;;;
150221;0000;45,9091;;;
150222;0000;32,0416;;;
150223;0000;35,375;;;
150224;0000;36,6666;;;
150225;0000;30;;;
150226;0000;42,2916;;;
150227;0000;44,6818;;;
150228;0000;35,4583;;;
150301;0000;25,45;;;
150302;0000;;;;
150303;0000;37,2083;;;
150304;0000;44,375;;;
150305;0000;35,7083;;;
150306;0000;36,9583;;;
150307;0000;43,5416;;;
150308;0000;26,5833;;;
150309;0000;52,1666;;;
150310;0000;46,9583;;;
150311;0000;51,125;;;
150312;0000;40,6666;;;
150313;0000;50,2083;;;
150314;0000;35,5833;;;
150315;0000;38,125;;;
150316;0000;54,5416;;;
150317;0000;40,25;;;
150318;0000;34,7916;;;
150319;0000;30;;;
150320;0000;30,0417;;;
150321;0000;37,4166;;;
150322;0000;39,875;;;
150323;0000;51,6666;;;
150324;0000;;;;
150325;0000;;;;
150326;0000;57,2857;;;
150327;0000;91;;;
150328;0000;56,2631;;;
150329;0000;;;;
150330;0000;46,5416;;;
150331;0000;70,875;;;
150401;0000;72,2916;;;
150402;0000;58,9166;;;
150403;0000;39,7083;;;
150404;0000;34,5833;;;
150405;0000;27,25;;;
150406;0000;46,2916;;;
150407;0000;48,5416;;;
150408;0000;37,6842;;;
150409;0000;38,3333;;;
150410;0000;45,25;;;
150411;0000;50,875;;;
150412;0000;44,4583;;;
150413;0000;56,75;;;
150414;0000;39,2916;;;
150415;0000;51,3333;;;
150416;0000;53,2916;;;
150417;0000;51,2916;;;
150418;0000;46,4166;;;
150419;0000;40,5833;;;
150420;0000;36,875;;;
150421;0000;46,25;;;
150422;0000;36,7083;;;
150423;0000;41,625;;;
150424;0000;43,7083;;;
150425;0000;42,9166;;;
150426;0000;35,5652;;;
150427;0000;33,0416;;;
150428;0000;47,5263;;;
150429;0000;43,25;;;
150430;0000;65,4166;;;
150501;0000;64,1738;;;
150502;0000;60,0416;;;
150503;0000;51,2916;;;
150504;0000;49,8947;;;
150505;0000;51,1666;;;
150506;0000;59,25;;;
150507;0000;61,9166;;;
150508;0000;58,6666;;;
150509;0000;43,9166;;;
150510;0000;41,9583;;;
150511;0000;66,5416;;;
150512;0000;69,2083;;;
150513;0000;52;;;
150514;0000;51,0054;;;
150515;0000;54,4183;;;
150516;0000;57,2808;;;
150517;0000;33,9608;;;
150518;0000;44,6932;;;
150519;0000;47,2599;;;
150520;0000;36,9025;;;
150521;0000;33,8137;;;
150522;0000;42,7995;;;
150523;0000;40,302;;;
150524;0000;42,0303;;;
150525;0000;59,6024;;;
150526;0000;52,7885;;;
150527;0000;44,4678;;;
150528;0000;41,2524;;;
150529;0000;37,4587;;;
150530;0000;32,8558;;;
150531;0000;37,6528;;;
150601;0000;38,2445;;;
150602;0000;49,8483;;;
150603;0000;56,9453;;;
150604;0000;;;53,9366;
150605;0000;55,3178;;;
150606;0000;63,8541;;;
150607;0000;72,9719;;;
150608;0000;61,0208;;;
150609;0000;48,0541;;;
150610;0000;46,1415;;;
150611;0000;48,2487;;;
150612;0000;;;27,9391;
150613;0000;;;26,4958;
150614;0000;;;13,9921;
150615;0000;;;47,5049;
150616;0000;48,4149;;;
150617;0000;54,3616;;;
150618;0000;48,6733;;;
150619;0000;52,397;;;
150620;0000;56,8595;;;
150621;0000;44,5228;;;
150622;0000;50,6978;;;
150623;0000;48,552;;;
150624;0000;48,2491;;;
150625;0000;44,2149;;;
150626;0000;61,162;;;
150627;0000;51,5411;;;
150628;0000;50,0716;;;
150629;0000;37,3174;;;
150630;0000;53,3424;;;
150701;0000;60,2299;;;
150702;0000;56,7587;;;
150703;0000;49,2449;;;
150704;0000;44,7479;;;
150705;0000;33,4003;;;
150706;0000;43,8337;;;
150707;0000;45,4145;;;
150708;0000;45,2791;;;
150709;0000;52,8036;;;
150710;0000;52,4924;;;
